As of Date,Facility Name,County,"Population (Incarcerated population, current)","Population (Incarcerated population, 7-day diff)","Tests (Incarcerated population, cumulative)","Tests (Incarcerated population, 7-day diff)","Pending Tests (Incarcerated population, current)","Percent of Population Tested (Incarcerated population, 7-day period)","Confirmed Cases (Incarcerated population, cumulative)","Active Cases (Incarcerated population, current)","Hospitalizations (Incarcerated population, cumulative)","Red Patients (Incarcerated population, current)","Dark Red Patients (Incarcerated population, current)","Orange Patients (Incarcerated population, current)",Percent of Orange Patients in Population (Incarcerated population),"Resolved Cases (Incarcerated population, cumulative)","Cases Released while Active (Incarcerated population, cumulative)","Cases Released after Resolved (Incarcerated population, cumulative)","Resolved Cases in Custody (Incarcerated population, current)","Deaths (Incarcerated population, cumulative)","Fully Vaccinated (Incarcerated population, cumulative)","Fully Vaccinated (Incarcerated population, current)","Offered Vaccine (Incarcerated population, current)","
Percent of Population Fully Vaccinated (Incarcerated population)","Quarantined Cases (Incarcerated population, current)","Isolated Cases (Incarcerated population, current)","Bookings (Incarcerated population, cumulative)","Bookings (Incarcerated population, 1-day diff)","Released Cases (Incarcerated population, cumulative)","Test Refusals (Incarcerated population, 7-day diff)","Tests Administered in Custody (Incarcerated population, 7-day diff)","Test Refusals in Custody (Incarcerated population, 7-day diff)","Tests Administered at Intake (Incarcerated population, 7-day diff)","Test Refusals at Intake (Incarcerated population, 7-day diff)","Cases Confirmed in Custody (Incarcerated population, 7-day diff)","Cases Confirmed at Intake (Incarcerated population, 7-day diff)","Confirmed Cases (Incarcerated population, 7-day diff)"
3/5/22,Santa Rita Jail,Alameda County,2228,-15,26180,227,61,10.19 ,1689,1,2,5,1,158,7.09,1507,181,252,1255,0,,,,,,,,,,,,,,,,,
3/6/22,Santa Rita Jail,Alameda County,2270,12,26220,239,71,10.53 ,1689,0,2,6,0,162,7.14,1508,181,252,1256,0,,,,,,,,,,,,,,,,,
3/7/22,Santa Rita Jail,Alameda County,2271,0,26220,239,71,10.52 ,1689,0,2,6,0,163,7.18,1508,181,252,1256,0,,,,,,,,,,,,,,,,,
3/8/22,Santa Rita Jail,Alameda County,2239,-14,26295,252,104,11.26 ,1691,2,2,6,2,162,7.24,1508,181,252,1256,0,,,,,,,,,,,,,,,,,
3/9/22,Santa Rita Jail,Alameda County,2226,-3,26340,237,72,10.65 ,1692,3,2,6,3,164,7.37,1508,181,252,1256,0,,,,,,,,,,,,,,,,,
3/10/22,Santa Rita Jail,Alameda County,2231,-2,26384,249,75,11.16 ,1692,3,2,5,3,164,7.35,1508,181,252,1256,0,1504,616,,27.61,,,,,,,,,,,,,
3/11/22,Santa Rita Jail,Alameda County,2209,-21,26406,253,52,11.45 ,1692,3,2,5,3,165,7.47,1508,181,252,1256,0,,,,,,,,,,,,,,,,,
3/12/22,Santa Rita Jail,Alameda County,2242,14,26436,256,59,11.42 ,1694,5,2,5,5,171,7.63,1508,181,252,1256,0,,,,,,,,,,,,,,,,,
3/13/22,Santa Rita Jail,Alameda County,2254,-16,26459,239,57,10.60 ,1694,5,2,5,5,174,7.72,1508,181,252,1256,0,,,,,,,,,,,,,,,,,
3/14/22,Santa Rita Jail,Alameda County,2264,-7,26459,239,55,10.56 ,1694,5,2,6,5,179,7.91,1508,181,252,1256,0,,,,,,,,,,,,,,,,,
3/15/22,Santa Rita Jail,Alameda County,2262,23,26516,221,84,9.77 ,1694,4,2,5,4,185,8.18,1508,182,252,1256,0,,,,,,,,,,,,,,,,,
3/16/22,Santa Rita Jail,Alameda County,2264,38,26575,235,143,10.38 ,1694,4,2,4,4,186,8.22,1508,182,252,1256,0,,,,,,,,,,,,,,,,,
3/17/22,Santa Rita Jail,Alameda County,2237,6,26602,218,119,9.75 ,1696,6,2,1,6,188,8.4,1508,182,252,1256,0,,,,,,,,,,,,,,,,,
3/18/22,Santa Rita Jail,Alameda County,2252,43,26619,213,47,9.46 ,1696,6,2,4,6,190,8.44,1508,182,252,1256,0,,,,,,,,,,,,,,,,,
3/19/22,Santa Rita Jail,Alameda County,2278,36,26640,204,51,8.96 ,1696,6,2,6,6,192,8.43,1508,182,252,1256,0,,,,,,,,,,,,,,,,,
3/20/22,Santa Rita Jail,Alameda County,2272,18,26658,199,49,8.76 ,1696,3,2,7,3,181,7.97,1511,182,252,1259,0,,,,,,,,,,,,,,,,,
3/21/22,Santa Rita Jail,Alameda County,2271,7,26658,199,49,8.76 ,1696,3,2,6,3,183,8.06,1511,182,252,1259,0,,,,,,,,,,,,,,,,,
3/22/22,Santa Rita Jail,Alameda County,2273,11,26739,223,112,9.81 ,1696,3,2,6,3,185,8.14,1511,182,252,1259,0,,,,,,,,,,,,,,,,,
3/23/22,Santa Rita Jail,Alameda County,2244,-20,26782,207,76,9.22 ,1698,2,2,8,2,181,8.07,1512,184,252,1260,0,,,,,,,,,,,,,,,,,
3/24/22,Santa Rita Jail,Alameda County,2246,9,26782,180,76,8.01 ,1698,2,2,6,2,181,8.06,1512,184,252,1260,0,1549,633,,28.18,,,,,,,,,,,,,
3/25/22,Santa Rita Jail,Alameda County,2236,-16,26821,202,50,9.03 ,1698,1,2,6,1,170,7.6,1512,185,252,1260,0,,,,,,,,,,,,,,,,,
3/26/22,Santa Rita Jail,Alameda County,2239,-39,26853,213,62,9.51 ,1698,1,2,7,1,170,7.59,1512,185,252,1260,0,,,,,,,,,,,,,,,,,
3/27/22,Santa Rita Jail,Alameda County,2239,-33,26893,235,70,10.50 ,1698,1,2,7,1,179,7.99,1512,185,252,1260,0,,,,,,,,,,,,,,,,,
3/28/22,Santa Rita Jail,Alameda County,2250,-21,26893,235,70,10.44 ,1698,0,2,7,0,180,8,1513,185,252,1261,0,,,,,,,,,,,,,,,,,
3/29/22,Santa Rita Jail,Alameda County,2241,-32,26935,196,112,8.75 ,1698,0,2,7,0,182,8.12,1513,185,252,1261,0,,,,,,,,,,,,,,,,,
3/30/22,Santa Rita Jail,Alameda County,2238,-6,26967,185,60,8.27 ,1700,2,2,5,2,182,8.13,1513,185,252,1261,0,,,,,,,,,,,,,,,,,
3/31/22,Santa Rita Jail,Alameda County,2213,-33,27034,252,94,11.39 ,1701,3,2,5,3,183,8.27,1513,185,252,1261,0,,,,,,,,,,,,,,,,,
4/1/22,Santa Rita Jail,Alameda County,2230,-6,27049,228,109,10.22 ,1701,3,2,2,3,185,8.3,1513,185,252,1261,0,1566,637,,28.57,,,,,,,,,,,,,
4/2/22,Santa Rita Jail,Alameda County,2230,-9,27069,216,52,9.69 ,1701,3,2,2,3,186,8.34,1513,185,252,1261,0,,,,,,,,,,,,,,,,,
4/3/22,Santa Rita Jail,Alameda County,2230,-9,27093,200,54,8.97 ,1701,3,2,2,3,178,7.98,1513,185,252,1261,0,,,,,,,,,,,,,,,,,
4/4/22,Santa Rita Jail,Alameda County,2265,15,27093,200,54,8.83 ,1701,2,2,2,2,181,7.99,1514,185,252,1262,0,,,,,,,,,,,,,,,,,
4/5/22,Santa Rita Jail,Alameda County,2271,30,27145,210,82,9.25 ,1701,1,2,1,1,180,7.93,1515,185,252,1263,0,,,,,,,,,,,,,,,,,
4/6/22,Santa Rita Jail,Alameda County,2246,8,27177,210,60,9.35 ,1701,1,2,0,1,182,8.1,1515,185,252,1263,0,,,,,,,,,,,,,,,,,
4/7/22,Santa Rita Jail,Alameda County,2246,33,27225,191,94,8.50 ,1701,1,2,1,1,174,7.75,1515,185,252,1263,0,,,,,,,,,,,,,,,,,
4/8/22,Santa Rita Jail,Alameda County,2216,-14,27219,170,60,7.67 ,1701,1,2,3,1,179,8.08,1515,185,252,1263,0,1592,643,,29.02,,,,,,,,,,,,,
4/9/22,Santa Rita Jail,Alameda County,2210,-20,27259,190,48,8.60 ,1701,1,2,3,1,181,8.19,1515,185,252,1263,0,,,,,,,,,,,,,,,,,
4/10/22,Santa Rita Jail,Alameda County,2217,-13,27304,211,47,9.52 ,1701,0,2,1,0,181,8.16,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/11/22,Santa Rita Jail,Alameda County,2218,-47,27327,234,47,10.55 ,1701,0,2,2,0,183,8.25,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/12/22,Santa Rita Jail,Alameda County,2203,-68,27370,225,60,10.21 ,1701,0,2,2,0,183,8.31,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/13/22,Santa Rita Jail,Alameda County,2194,-52,27426,249,61,11.35 ,1702,1,2,0,1,183,8.34,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/14/22,Santa Rita Jail,Alameda County,2218,-28,27468,243,54,10.96 ,1703,2,2,0,2,187,8.43,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/15/22,Santa Rita Jail,Alameda County,2284,68,27492,273,41,11.95 ,1703,2,2,0,2,190,8.32,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/16/22,Santa Rita Jail,Alameda County,2174,-36,27537,278,41,12.79 ,1703,2,2,2,2,149,6.85,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/17/22,Santa Rita Jail,Alameda County,2173,-44,27596,292,53,13.44 ,1703,2,2,2,2,150,6.9,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/18/22,Santa Rita Jail,Alameda County,2195,-23,27618,291,53,13.26 ,1704,3,2,2,3,150,6.83,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/19/22,Santa Rita Jail,Alameda County,2213,10,27664,294,76,13.29 ,1704,3,2,2,3,152,6.87,1516,185,252,1264,0,1614,639,,28.87,,,,,,,,,,,,,
4/20/22,Santa Rita Jail,Alameda County,2207,13,27715,289,57,13.09 ,1706,5,2,1,5,155,7.02,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/21/22,Santa Rita Jail,Alameda County,2195,-23,27791,323,115,14.72 ,1706,5,2,1,5,161,7.33,1516,185,252,1264,0,,,,,,,,,,,,,,,,,
4/22/22,Santa Rita Jail,Alameda County,2178,-106,27844,352,79,16.16 ,1706,3,2,2,3,164,7.53,1518,185,252,1266,0,,,,,,,,,,,,,,,,,
4/23/22,Santa Rita Jail,Alameda County,2169,-5,27894,357,48,16.46 ,1707,4,2,2,4,166,7.65,1518,185,252,1266,0,,,,,,,,,,,,,,,,,
4/24/22,Santa Rita Jail,Alameda County,2170,-3,27928,332,45,15.30 ,1708,5,2,2,5,168,7.74,1518,185,252,1266,0,,,,,,,,,,,,,,,,,
4/25/22,Santa Rita Jail,Alameda County,2189,-6,27937,319,45,14.57 ,1708,5,2,3,5,171,7.81,1518,185,252,1266,0,1651,653,,29.83,,,,,,,,,,,,,
4/26/22,Santa Rita Jail,Alameda County,2178,-35,28010,346,91,15.89 ,1709,6,2,3,6,172,7.9,1518,185,252,1266,0,,,,,,,,,,,,,,,,,
4/27/22,Santa Rita Jail,Alameda County,2160,-47,28131,416,140,19.26 ,1714,11,2,4,11,175,8.1,1518,185,252,1266,0,,,,,,,,,,,,,,,,,
4/28/22,Santa Rita Jail,Alameda County,2158,-37,28178,387,76,17.93 ,1717,13,2,3,13,177,8.2,1518,185,252,1266,0,1652,643,,29.8,,,,,,,,,,,,,
4/29/22,Santa Rita Jail,Alameda County,2168,-10,28237,393,52,18.13 ,1720,16,2,3,16,179,8.26,1519,185,252,1267,0,,,,,,,,,,,,,,,,,
4/30/22,Santa Rita Jail,Alameda County,2153,-16,28267,373,53,17.32 ,1724,20,2,5,20,184,8.55,1519,185,252,1267,0,,,,,,,,,,,,,,,,,
5/1/22,Santa Rita Jail,Alameda County,2167,-3,28332,404,65,18.64 ,1727,21,2,2,21,184,8.49,1521,185,252,1269,0,,,,,,,,,,,,,,,,,
5/2/22,Santa Rita Jail,Alameda County,2178,-11,28411,474,124,21.76 ,1728,21,2,2,21,185,8.49,1522,185,252,1270,0,,,,,,,,,,,,,,,,,
5/3/22,Santa Rita Jail,Alameda County,2182,4,28470,460,124,21.08 ,1734,27,2,0,21,185,8.48,1522,185,252,1270,0,,,,,,,,,,,,,,,,,
5/4/22,Santa Rita Jail,Alameda County,2181,21,28531,400,73,18.34 ,1756,49,2,2,49,185,8.48,1522,185,252,1270,0,1677,640,,29.34,,,,,,,,,,,,,
5/5/22,Santa Rita Jail,Alameda County,2178,20,28567,389,63,17.86 ,1756,48,2,3,48,189,8.68,1522,186,252,1270,0,,,,,,,,,,,,,,,,,
5/6/22,Santa Rita Jail,Alameda County,2210,42,28651,414,94,18.73 ,1756,41,2,1,41,189,8.55,1529,186,252,1277,0,,,,,,,,,,,,,,,,,
5/7/22,Santa Rita Jail,Alameda County,2197,44,28692,425,88,19.34 ,1756,41,2,1,41,189,8.6,1529,186,252,1277,0,,,,,,,,,,,,,,,,,
5/8/22,Santa Rita Jail,Alameda County,2207,40,28729,397,49,17.99 ,1763,44,2,0,44,189,8.56,1532,187,252,1280,0,,,,,,,,,,,,,,,,,
5/9/22,Santa Rita Jail,Alameda County,2228,50,28758,347,45,15.57 ,1766,45,2,1,45,189,8.48,1534,187,252,1282,0,,,,,,,,,,,,,,,,,
5/10/22,Santa Rita Jail,Alameda County,2219,37,28839,369,96,16.63 ,1767,45,2,1,45,192,8.65,1534,188,252,1282,0,,,,,,,,,,,,,,,,,
5/11/22,Santa Rita Jail,Alameda County,2199,18,28906,375,160,17.05 ,1767,34,2,1,34,195,8.87,1545,188,252,1293,0,,,,,,,,,,,,,,,,,
5/12/22,Santa Rita Jail,Alameda County,2194,16,29019,452,182,20.60 ,1767,29,2,2,29,195,8.89,1550,188,252,1298,0,,,,,,,,,,,,,,,,,
5/13/22,Santa Rita Jail,Alameda County,2186,-24,29101,450,110,20.59 ,1774,36,2,6,36,195,8.92,1550,188,252,1298,0,1684,623,,28.5,,,,,,,,,,,,,
5/14/22,Santa Rita Jail,Alameda County,2144,-53,29126,434,48,20.24 ,1787,46,2,8,46,195,9.1,1552,189,252,1300,0,,,,,,,,,,,,,,,,,
5/15/22,Santa Rita Jail,Alameda County,2173,-34,29163,434,59,19.97 ,1789,29,2,7,29,195,8.97,1571,189,252,1319,0,,,,,,,,,,,,,,,,,
5/16/22,Santa Rita Jail,Alameda County,2194,-34,29155,397,58,18.09 ,1789,23,2,7,23,198,9.02,1577,189,252,1325,0,,,,,,,,,,,,,,,,,
5/17/22,Santa Rita Jail,Alameda County,2182,-37,29228,389,91,17.83 ,1791,25,2,7,25,198,9.07,1577,189,252,1325,0,,,,,,,,,,,,,,,,,
5/18/22,Santa Rita Jail,Alameda County,2169,-30,29275,369,78,17.01 ,1792,24,2,2,24,206,9.5,1577,191,252,1325,0,,,,,,,,,,,,,,,,,
5/19/22,Santa Rita Jail,Alameda County,2186,-8,29347,328,105,15.00 ,1792,22,2,4,22,166,7.59,1579,191,252,1327,0,1704,617,,28.23,,,,,,,,,,,,,
5/20/22,Santa Rita Jail,Alameda County,2182,-4,29407,306,117,14.02 ,1795,24,2,4,24,166,7.61,1579,192,252,1327,0,,,,,,,,,,,,,,,,,
5/21/22,Santa Rita Jail,Alameda County,2182,38,29500,374,162,17.14 ,1798,20,2,5,20,166,7.61,1586,192,252,1334,0,,,,,,,,,,,,,,,,,
5/22/22,Santa Rita Jail,Alameda County,2176,3,29544,381,137,17.51 ,1805,16,2,5,16,166,7.63,1597,192,253,1344,0,,,,,,,,,,,,,,,,,
5/23/22,Santa Rita Jail,Alameda County,2203,9,29544,389,137,17.66 ,1805,16,2,3,16,166,7.54,1597,192,253,1344,0,,,,,,,,,,,,,,,,,
5/24/22,Santa Rita Jail,Alameda County,2197,15,29491,263,47,11.97 ,1812,23,2,5,23,136,6.19,1597,192,253,1344,0,,,,,,,,,,,,,,,,,
5/25/22,Santa Rita Jail,Alameda County,2173,4,29599,324,146,14.91 ,1817,27,2,5,27,136,6.26,1598,192,253,1345,0,,,,,,,,,,,,,,,,,
5/26/22,Santa Rita Jail,Alameda County,2163,-23,29727,380,248,17.57 ,1820,28,2,4,28,136,6.29,1600,192,253,1347,0,,,,,,,,,,,,,,,,,
5/27/22,Santa Rita Jail,Alameda County,2163,-19,29677,270,150,12.48 ,1822,28,2,3,28,136,6.29,1600,194,253,1347,0,1711,602,,27.83,,,,,,,,,,,,,
5/28/22,Santa Rita Jail,Alameda County,2137,-45,29716,216,85,10.11 ,1843,43,2,2,43,136,6.36,1605,195,253,1352,0,,,,,,,,,,,,,,,,,
5/29/22,Santa Rita Jail,Alameda County,2307,131,29789,245,102,10.62 ,1843,36,2,2,36,136,5.9,1612,195,253,1359,0,,,,,,,,,,,,,,,,,
5/30/22,Santa Rita Jail,Alameda County,2197,-6,29812,268,102,12.20 ,1844,36,2,3,36,136,6.19,1613,195,253,1360,0,,,,,,,,,,,,,,,,,
5/31/22,Santa Rita Jail,Alameda County,2221,24,29860,369,124,16.61 ,1844,36,2,3,36,140,6.3,1613,195,253,1360,0,,,,,,,,,,,,,,,,,
6/1/22,Santa Rita Jail,Alameda County,2177,4,29822,223,84,10.24 ,1845,33,2,4,33,146,6.71,1617,195,253,1364,0,,,,,,,,,,,,,,,,,
6/2/22,Santa Rita Jail,Alameda County,2153,-10,29890,163,80,7.57 ,1851,36,2,2,39,146,6.78,1617,195,253,1364,0,,,,,,,,,,,,,,,,,
6/3/22,Santa Rita Jail,Alameda County,2166,3,29971,294,52,13.57 ,1855,40,2,1,40,146,6.74,1619,196,253,1366,0,,,,,,,,,,,,,,,,,
6/4/22,Santa Rita Jail,Alameda County,2177,40,29984,268,38,12.31 ,1856,12,2,0,12,146,6.71,1647,197,253,1394,0,,,,,,,,,,,,,,,,,
6/5/22,Santa Rita Jail,Alameda County,2180,-127,30069,280,47,12.84 ,1857,13,2,3,13,146,6.7,1647,197,253,1394,0,,,,,,,,,,,,,,,,,
6/6/22,Santa Rita Jail,Alameda County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/22,Santa Rita Jail,Alameda County,2167,-54,30164,304,118,14.03 ,1859,15,2,4,15,146,6.74,1647,197,253,1394,0,,,,,,,,,,,,,,,,,
6/8/22,Santa Rita Jail,Alameda County,2167,-10,30224,402,115,18.55 ,1859,15,2,4,15,146,6.74,1647,197,253,1394,0,,,,,,,,,,,,,,,,,
6/9/22,Santa Rita Jail,Alameda County,2145,-8,30262,372,82,17.34 ,1865,20,2,2,20,146,6.81,1648,197,253,1395,0,1722,571,,26.62,,,,,,,,,,,,,
6/10/22,Santa Rita Jail,Alameda County,2138,-28,30305,334,56,15.62 ,1870,25,2,2,25,148,6.92,1648,197,253,1395,0,,,,,,,,,,,,,,,,,
6/11/22,Santa Rita Jail,Alameda County,2177,0,30341,357,44,16.40 ,1874,21,2,1,21,148,6.8,1656,197,254,1402,0,,,,,,,,,,,,,,,,,
6/12/22,Santa Rita Jail,Alameda County,2136,-44,30421,352,55,16.48 ,1876,24,2,1,24,148,6.93,1656,197,254,1402,0,,,,,,,,,,,,,,,,,
6/13/22,Santa Rita Jail,Alameda County,2158,,30409,,54,,1878,21,2,3,21,148,6.86,1660,197,254,1406,0,,,,,,,,,,,,,,,,,
6/14/22,Santa Rita Jail,Alameda County,2154,-13,30461,297,92,13.79 ,1882,22,2,3,22,148,6.87,1663,197,254,1409,0,,,,,,,,,,,,,,,,,
6/15/22,Santa Rita Jail,Alameda County,2136,-31,30513,289,67,13.53 ,1884,24,2,3,24,150,7.02,1663,197,254,1409,0,,,,,,,,,,,,,,,,,
6/16/22,Santa Rita Jail,Alameda County,2125,-20,30547,285,66,13.41 ,1885,20,2,2,20,151,7.11,1663,202,254,1409,0,,,,,,,,,,,,,,,,,
6/17/22,Santa Rita Jail,Alameda County,2128,-10,30571,266,62,12.50 ,1886,17,2,2,17,150,7.05,1667,202,254,1413,0,1729,575,,27.02,,,,,,,,,,,,,
6/18/22,Santa Rita Jail,Alameda County,2137,-40,30620,279,59,13.06 ,1887,18,2,1,18,150,7.02,1667,202,254,1413,0,,,,,,,,,,,,,,,,,
6/19/22,Santa Rita Jail,Alameda County,2162,26,30663,242,62,11.19 ,1889,14,2,1,14,152,7.03,1673,202,255,1418,0,,,,,,,,,,,,,,,,,
6/20/22,Santa Rita Jail,Alameda County,2177,19,30686,277,55,12.72 ,1890,15,2,0,15,153,7.03,1673,202,255,1418,0,,,,,,,,,,,,,,,,,
6/21/22,Santa Rita Jail,Alameda County,2185,31,30737,276,62,12.63 ,1892,16,2,1,16,154,7.05,1674,202,255,1419,0,,,,,,,,,,,,,,,,,
6/22/22,Santa Rita Jail,Alameda County,2177,41,30792,279,83,12.82 ,1893,13,2,1,13,159,7.3,1677,203,255,1422,0,,,,,,,,,,,,,,,,,
6/23/22,Santa Rita Jail,Alameda County,2167,42,30819,272,64,12.55 ,1894,10,2,0,10,142,6.55,1680,204,255,1425,0,,,,,,,,,,,,,,,,,
6/24/22,Santa Rita Jail,Alameda County,2172,44,30845,274,44,12.62 ,1903,17,2,0,17,143,6.58,1681,205,255,1426,0,1732,571,,26.29,,,,,,,,,,,,,
6/25/22,Santa Rita Jail,Alameda County,2120,-17,30880,260,68,12.26 ,1904,15,2,0,15,145,6.84,1683,206,255,1428,0,,,,,,,,,,,,,,,,,
6/26/22,Santa Rita Jail,Alameda County,2134,-28,30914,251,60,11.76 ,1906,17,2,2,17,127,5.95,1683,206,255,1428,0,,,,,,,,,,,,,,,,,
6/27/22,Santa Rita Jail,Alameda County,2166,-11,30953,267,72,12.33 ,1908,18,2,2,18,129,5.96,1684,206,255,1429,0,,,,,,,,,,,,,,,,,
6/28/22,Santa Rita Jail,Alameda County,2166,-19,30976,239,62,11.03 ,1909,15,2,2,15,122,5.63,1687,207,255,1432,0,,,,,,,,,,,,,,,,,
6/29/22,Santa Rita Jail,Alameda County,2142,-35,31024,232,70,10.83 ,1912,17,2,1,17,125,5.84,1687,208,255,1432,0,,,,,,,,,,,,,,,,,
6/30/22,Santa Rita Jail,Alameda County,2146,-21,31062,243,64,11.32 ,1915,16,2,1,16,121,5.64,1689,210,255,1434,0,,,,,,,,,,,,,,,,,
7/1/22,Santa Rita Jail,Alameda County,2144,-28,31092,247,55,11.52 ,1915,16,2,1,16,123,5.74,1689,210,255,1434,0,1740,554,,25.84,,,,,,,,,,,,,
7/2/22,Santa Rita Jail,Alameda County,2155,35,31134,254,53,11.79 ,1915,13,2,1,13,123,5.71,1692,210,255,1437,0,,,,,,,,,,,,,,,,,
7/3/22,Santa Rita Jail,Alameda County,2140,6,31186,272,57,12.71 ,1919,15,2,1,15,123,5.75,1694,210,255,1439,0,,,,,,,,,,,,,,,,,
7/4/22,Santa Rita Jail,Alameda County,2150,-16,31212,259,54,12.05 ,1922,11,2,0,11,123,5.72,1701,210,255,1446,0,,,,,,,,,,,,,,,,,
7/5/22,Santa Rita Jail,Alameda County,2177,11,31226,250,32,11.48 ,1922,11,2,0,11,128,5.88,1701,210,255,1446,0,,,,,,,,,,,,,,,,,
7/6/22,Santa Rita Jail,Alameda County,2188,46,31283,259,74,11.84 ,1923,10,2,0,10,135,6.17,1701,212,255,1446,0,,,,,,,,,,,,,,,,,
7/7/22,Santa Rita Jail,Alameda County,2174,28,31322,260,48,11.96 ,1927,13,2,1,13,135,6.21,1702,212,255,1447,0,1745,541,,24.89,,,,,,,,,,,,,
7/8/22,Santa Rita Jail,Alameda County,2147,3,31353,261,44,12.16 ,1928,13,2,2,13,137,6.38,1703,212,255,1448,0,,,,,,,,,,,,,,,,,
7/9/22,Santa Rita Jail,Alameda County,2132,-23,31397,263,75,12.34 ,1930,12,2,2,12,137,6.43,1705,213,255,1450,0,,,,,,,,,,,,,,,,,
7/10/22,Santa Rita Jail,Alameda County,2154,14,31461,275,101,12.77 ,1932,13,2,2,13,137,6.36,1706,213,255,1451,0,,,,,,,,,,,,,,,,,
7/11/22,Santa Rita Jail,Alameda County,,,31486,274,64,,1936,15,2,3,15,137,#DIV/0!,1708,213,255,1453,0,,,,,,,,,,,,,,,,,
7/12/22,Santa Rita Jail,Alameda County,2168,-9,31532,306,62,14.11 ,1938,17,2,1,17,141,6.5,1708,213,255,1453,0,,,,,,,,,,,,,,,,,
7/13/22,Santa Rita Jail,Alameda County,2147,-41,31570,287,73,13.37 ,1940,16,2,2,16,142,6.61,1710,214,255,1455,0,,,,,,,,,,,,,,,,,
7/14/22,Santa Rita Jail,Alameda County,2161,-13,31593,271,49,12.54 ,1940,14,2,2,14,144,6.66,1712,214,255,1457,0,1756,541,,25.03,,,,,,,,,,,,,
7/15/22,Santa Rita Jail,Alameda County,2161,14,31620,267,48,12.36 ,1941,11,2,2,11,159,7.36,1716,214,255,1461,0,,,,,,,,,,,,,,,,,
7/16/22,Santa Rita Jail,Alameda County,2155,23,31664,267,75,12.39 ,1943,11,2,0,11,146,6.77,1717,215,255,1462,0,,,,,,,,,,,,,,,,,
7/17/22,Santa Rita Jail,Alameda County,2159,5,31698,237,82,10.98 ,1945,12,2,1,12,147,6.81,1718,215,255,1463,0,,,,,,,,,,,,,,,,,
7/18/22,Santa Rita Jail,Alameda County,2182,,31719,233,48,10.68 ,1946,11,2,1,11,151,6.92,1720,215,255,1465,0,,,,,,,,,,,,,,,,,
7/19/22,Santa Rita Jail,Alameda County,2182,14,31742,210,52,9.62 ,1947,10,2,1,10,152,6.97,1722,215,255,1467,0,,,,,,,,,,,,,,,,,
7/20/22,Santa Rita Jail,Alameda County,2166,19,31806,236,90,10.90 ,1950,9,2,0,9,153,7.06,1724,217,255,1469,0,,,,,,,,,,,,,,,,,
7/21/22,Santa Rita Jail,Alameda County,2153,-8,31865,272,108,12.63 ,1951,9,2,0,9,160,7.43,1725,217,255,1470,0,,,,,,,,,,,,,,,,,
7/22/22,Santa Rita Jail,Alameda County,2170,9,31865,245,108,11.29 ,1951,18,2,0,18,168,7.74,1725,217,255,1470,0,1754,532,,24.52,,,,,,,,,,,,,
7/23/22,Santa Rita Jail,Alameda County,2158,3,31913,249,59,11.54 ,1962,18,2,0,18,168,7.78,1727,217,255,1472,0,,,,,,,,,,,,,,,,,
7/24/22,Santa Rita Jail,Alameda County,2156,-3,31985,287,58,13.31 ,1967,22,2,0,22,168,7.79,1727,218,255,1472,0,,,,,,,,,,,,,,,,,
7/25/22,Santa Rita Jail,Alameda County,2170,-12,31998,279,71,12.86 ,1967,19,2,0,19,169,7.79,1730,218,255,1475,0,,,,,,,,,,,,,,,,,
7/26/22,Santa Rita Jail,Alameda County,2159,-23,32021,279,82,12.92 ,1969,19,2,0,19,150,6.95,1731,219,255,1476,0,,,,,,,,,,,,,,,,,
4/14/20,SF County Jails,San Francisco County,,,,,,,1,1,,,,,,,,,0,,,,,,,,,,0,,,,,,,,
4/15/20,SF County Jails,San Francisco County,,,,,,,1,0,,,,,,,,,0,,,,,,,,,,1,,,,,,,,
4/17/20,SF County Jails,San Francisco County,,,,,,,2,1,,,,,,,,,0,,,,,,,,,,1,,,,,,,,
4/20/20,SF County Jails,San Francisco County,,,,,,,2,0,,,,,,,,,0,,,,,,,,,,2,,,,,,,,
5/4/20,SF County Jails,San Francisco County,,,,,,,3,1,,,,,,,,,0,,,,,,,,,,2,,,,,,,,
5/12/20,SF County Jails,San Francisco County,,,,,,,4,2,,,,,,,,,0,,,,,,,,,,2,,,,,,,,
5/13/20,SF County Jails,San Francisco County,,,,,,,5,2,,,,,,,,,0,,,,,,,,,,3,,,,,,,,
5/14/20,SF County Jails,San Francisco County,,,,,,,5,1,,,,,,,,,0,,,,,,,,,,4,,,,,,,,
5/18/20,SF County Jails,San Francisco County,,,,,,,6,2,,,,,,,,,0,,,,,,,,,,4,,,,,,,,
5/20/20,SF County Jails,San Francisco County,,,,,,,6,1,,,,,,,,,0,,,,,,,,,,5,,,,,,,,
5/23/20,SF County Jails,San Francisco County,,,,,,,7,2,,,,,,,,,0,,,,,,,,,,5,,,,,,,,
